,MLR_ALL,MLR_Ridge,MLR_Lasso,MLR_ElasticNet
709,Mediocre,Mediocre,Mediocre,Mediocre
1407,Mediocre,Mediocre,Mediocre,Mediocre
1020,Mediocre,Mediocre,Mediocre,Mediocre
108,Acceptable,Acceptable,Acceptable,Acceptable
646,Poor,Poor,Poor,Poor
1276,Good,Good,Good,Acceptable
586,Poor,Poor,Poor,Poor
456,Acceptable,Acceptable,Acceptable,Acceptable
1232,Mediocre,Mediocre,Acceptable,Acceptable
1028,Mediocre,Mediocre,Mediocre,Mediocre
676,Mediocre,Mediocre,Mediocre,Mediocre
152,Acceptable,Acceptable,Acceptable,Acceptable
584,Mediocre,Mediocre,Mediocre,Mediocre
1010,Poor,Poor,Poor,Poor
102,Good,Good,Good,Good
1348,Mediocre,Mediocre,Mediocre,Mediocre
1181,Mediocre,Mediocre,Mediocre,Mediocre
311,Acceptable,Acceptable,Acceptable,Acceptable
665,Mediocre,Mediocre,Mediocre,Mediocre
1391,Mediocre,Mediocre,Mediocre,Mediocre
1243,Mediocre,Mediocre,Mediocre,Mediocre
790,Poor,Poor,Poor,Poor
579,Mediocre,Mediocre,Mediocre,Mediocre
946,Poor,Poor,Poor,Poor
270,Acceptable,Acceptable,Acceptable,Acceptable
1241,Mediocre,Mediocre,Mediocre,Mediocre
139,Acceptable,Acceptable,Acceptable,Acceptable
685,Acceptable,Acceptable,Acceptable,Acceptable
415,Good,Good,Good,Good
67,Acceptable,Acceptable,Acceptable,Acceptable
520,Acceptable,Acceptable,Acceptable,Good
350,Acceptable,Acceptable,Acceptable,Acceptable
570,Mediocre,Mediocre,Mediocre,Mediocre
1014,Mediocre,Mediocre,Mediocre,Mediocre
934,Poor,Poor,Poor,Poor
925,Poor,Poor,Poor,Poor
1115,Poor,Poor,Poor,Poor
564,Mediocre,Mediocre,Mediocre,Mediocre
844,Mediocre,Mediocre,Mediocre,Mediocre
1046,Mediocre,Mediocre,Mediocre,Mediocre
1133,Mediocre,Mediocre,Mediocre,Mediocre
429,Acceptable,Acceptable,Acceptable,Acceptable
1119,Mediocre,Mediocre,Mediocre,Mediocre
258,Mediocre,Mediocre,Mediocre,Mediocre
680,Acceptable,Acceptable,Acceptable,Acceptable
131,Mediocre,Mediocre,Acceptable,Acceptable
1301,,,,
743,Poor,Poor,Poor,Poor
914,Poor,Poor,Poor,Poor
773,Poor,Poor,Poor,Poor
238,Acceptable,Acceptable,Acceptable,Acceptable
587,Poor,Poor,Poor,Poor
409,Acceptable,Acceptable,Acceptable,Acceptable
1222,Mediocre,Mediocre,Mediocre,Mediocre
304,Acceptable,Acceptable,Acceptable,Acceptable
843,Mediocre,Mediocre,Mediocre,Mediocre
515,Acceptable,Acceptable,Acceptable,Acceptable
1126,Poor,Poor,Poor,Poor
888,Mediocre,Mediocre,Mediocre,Mediocre
183,Good,Good,Good,Good
